央视,#genre#
超级综艺,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
河南公共,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226441/index.m3u8#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226566/index.m3u8
河南都市,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226430/index.m3u8#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226511/index.m3u8#http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226649/index.m3u8



都市剧场,http://39.134.221.37:80/wh7f454c46tw3816699272_-1641821976/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226324/index.m3u8
动漫秀场,http://111.7.154.167:80/wh7f454c46tw3818641163_-2032181574/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226325/index.m3u8
快乐垂钓,http://111.7.154.167:80/wh7f454c46tw3821651754_1876956126/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226326/index.m3u8
茶,http://39.134.221.8:80/wh7f454c46tw3823663533_-1552448840/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226329/index.m3u8
全纪实,http://39.134.221.60:80/wh7f454c46tw3826669172_-1866771983/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226335/index.m3u8
游戏风云,http://39.134.221.51:80/wh7f454c46tw3828689639_1623075859/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226328/index.m3u8
极速汽车,http://39.134.221.15:80/wh7f454c46tw3831673193_-1117231409/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226337/index.m3u8
生活时尚,http://39.134.221.52:80/wh7f454c46tw3833658041_-1679478541/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
金色频道,http://39.134.221.17:80/wh7f454c46tw3836662088_1110878414/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226332/index.m3u8
体育赛事,http://39.134.221.42:80/wh7f454c46tw3839573878_1504055900/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226357/index.m3u8
财富天下,http://39.134.221.8:80/wh7f454c46tw3841667039_470361634/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226334/index.m3u8
休闲指南,http://39.134.221.74:80/wh7f454c46tw3843668575_457512152/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
中华特产,http://39.134.221.60:80/wh7f454c46tw3846659702_1009756640/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
法治天地,http://39.134.221.69:80/wh7f454c46tw3848668114_-491135666/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226340/index.m3u8
家有购物,http://39.134.221.65:80/wh7f454c46tw3598607705_-314643587/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
央广购物,http://39.134.221.30:80/wh7f454c46tw3603601073_313434963/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226467/index.m3u8
环球购物,http://39.134.221.74:80/wh7f454c46tw3607597527_-1161305177/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
好享购物,http://39.134.221.46:80/wh7f454c46tw3611617781_1887165937/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
